Company Name 1,Revenue Cr 09,PAT Cr 09,MCAP 09,Company Name 2,Revenue Cr 10,PAT Cr 10,MCAP 10,Company Name 3,Revenue Cr 11,PAT Cr 11,MCAP 11,
3i Infotech Ltd.,2382.00,282.01,1116.55,3i Infotech Ltd.,2498.05,33.46,1180.12,3i Infotech Ltd.,2587.48,252.51,493.84,
Aarti Industries Ltd.,1357.31,83.75,344.51,Aarti Industries Ltd.,1303.07,68.49,435.82,Aarti Industries Ltd.,1488.10,81.49,359.96,
ABB India Ltd.,6967.44,547.41,16214.01,ABB India Ltd.,6313.64,354.64,17707.42,ABB India Ltd.,6946.52,116.55,14549.83,
ABG Shipyard Ltd.,1420.31,171.10,1243.12,ABG Shipyard Ltd.,1827.31,218.12,1230.43,ABG Shipyard Ltd.,2142.34,193.99,2046.76,
ACC Ltd.,8016.84,1099.64,15063.37,ACC Ltd.,8725.47,1563.91,18316.06,ACC Ltd.,9339.64,1013.47,21303.84,
Adani Enterprises Ltd.,1599.00,504.65,16429.73,Adani Enterprises Ltd.,3061.25,919.30,41153.75,Adani Enterprises Ltd.,5780.74,2476.09,54192.52,
Adani Ports & Special Economic Zone Ltd.,1239.53,432.52,21558.29,Adani Ports & Special Economic Zone Ltd.,1530.02,676.00,32442.30,Adani Ports & Special Economic Zone Ltd.,2031.00,918.15,31092.77,
Adhunik Metaliks Ltd.,1298.10,46.69,896.29,Adhunik Metaliks Ltd.,1469.91,137.36,1426.57,Adhunik Metaliks Ltd.,1809.15,184.31,598.97,
Agnite Education Ltd.,3063.00,46.06,116.88,Aditya Birla Nuvo Ltd.(Amalgamated),15769.13,154.56,8819.35,Aditya Birla Nuvo Ltd.(Amalgamated),17279.40,752.42,10064.36,
Ahluwalia Contracts (India) Ltd.,1200.47,57.29,994.13,Ahluwalia Contracts (India) Ltd.,1624.18,81.78,1333.84,Ahluwalia Contracts (India) Ltd.,1760.84,72.05,663.20,
AIA Engineering Ltd.,1048.22,173.60,2580.24,AIA Engineering Ltd.,981.94,170.74,3773.01,AIA Engineering Ltd.,1185.91,183.39,2918.24,
Amara Raja Batteries Ltd.,1321.24,80.48,1155.95,Amara Raja Batteries Ltd.,1482.22,167.03,1795.29,Amara Raja Batteries Ltd.,1770.24,148.10,1769.49,
Amtek Auto Ltd.,1192.15,153.24,2750.56,Amtek Auto Ltd.,3438.62,172.76,3703.80,Amtek Auto Ltd.,1955.14,85.30,2996.84,
Anik Industries Ltd.,992.07,11.87,118.96,Anik Industries Ltd.,1253.80,10.10,167.00,Ambuja Cements Ltd.,7998.55,1165.19,23110.16,
Apollo Hospitals Enterprise Ltd.,1635.20,102.49,3328.80,Apollo Hospitals Enterprise Ltd.,2058.71,137.57,5222.69,Apollo Hospitals Enterprise Ltd.,2624.00,183.92,6665.01,
Apollo Tyres Ltd.,5007.08,139.15,2278.33,Apollo Tyres Ltd.,8229.48,653.35,4189.44,Apollo Tyres Ltd.,8894.00,440.16,2785.53,
Ashok Leyland Ltd.,6030.69,190.00,5396.70,Ashok Leyland Ltd.,7315.16,423.67,9904.40,Ashok Leyland Ltd.,11133.04,631.30,6653.15,
Asian Paints Ltd.,5514.91,397.84,13149.05,Asian Paints Ltd.,6828.20,835.64,26843.78,Asian Paints Ltd.,7788.87,843.24,29848.87,
Atul Ltd.,1238.75,43.28,233.15,Atul Ltd.,1229.00,56.00,431.22,Atul Ltd.,1575.25,90.25,609.02,
Aurobindo Pharma Ltd.,3140.16,99.90,3794.80,Aurobindo Pharma Ltd.,3614.37,563.40,6113.09,Aurobindo Pharma Ltd.,4406.67,563.45,3649.78,
Axis Bank Ltd.,13745.04,1812.93,32833.10,Axis Bank Ltd.,15603.26,2478.14,59535.98,Axis Bank Ltd.,19826.31,3339.91,44796.64,
B L Kashyap & Sons Ltd.,1410.44,67.29,833.65,B L Kashyap & Sons Ltd.,1064.22,40.15,844.12,B L Kashyap & Sons Ltd.,1605.85,48.81,216.51,
Bajaj Auto Ltd.,8926.48,535.79,19375.91,Bajaj Auto Ltd.,12118.73,1594.60,42101.98,Bajaj Auto Ltd.,17008.05,3454.89,46885.69,
Bajaj Electricals Ltd.,1776.24,89.13,1088.95,Bajaj Electricals Ltd.,2231.49,117.09,2974.63,Bajaj Electricals Ltd.,2746.48,143.79,1925.48,
Balkrishna Industries Ltd.,1408.17,74.59,703.62,Balkrishna Industries Ltd.,1593.30,219.16,1389.72,Balkrishna Industries Ltd.,2212.52,194.63,1660.24,
Ballarpur Industries Ltd.,2811.86,174.85,1333.56,Ballarpur Industries Ltd.,3818.49,197.03,2318.18,Ballarpur Industries Ltd.,4514.90,212.70,1749.67,
Balmer Lawrie & Company Ltd.,2038.70,109.15,808.29,Balmer Lawrie & Company Ltd.,2054.37,119.72,1105.20,Balmer Lawrie & Company Ltd.,2411.47,128.32,957.98,
Balrampur Chini Mills Ltd.,1506.14,78.34,3107.01,Balrampur Chini Mills Ltd.,1755.29,209.05,2316.91,Balrampur Chini Mills Ltd.,2398.76,130.15,1267.34,
Bank of Baroda,18456.58,2384.08,16880.99,Bank of Baroda,20242.78,3179.30,31540.68,Bank of Baroda,25800.41,4433.71,29420.86,
Bank of India,19493.51,3087.54,19422.89,Bank of India,20645.51,1787.16,25670.44,Bank of India,24500.25,2542.42,17729.25,
Bank of Maharashtra,4792.23,375.24,1835.41,Bank of Maharashtra,5327.47,439.67,3031.37,Bank of Maharashtra,6099.19,334.80,2282.59,
BASF India Ltd.,1322.82,48.61,839.57,BASF India Ltd.,1634.94,96.07,2472.49,BASF India Ltd.,3093.92,117.83,2628.29,
Bata India Ltd.,1035.01,59.06,1125.53,Bata India Ltd.,1101.67,62.58,2193.47,Bata India Ltd.,1520.54,205.47,4342.22,
Bayer Cropscience Ltd.,1504.15,94.46,1463.97,Bayer Cropscience Ltd.,1749.35,127.25,4115.79,Bayer Cropscience Ltd.,2157.77,131.54,3308.60,
BEML Ltd.,2899.22,270.10,4547.51,BEML Ltd.,2966.22,224.49,4731.03,BEML Ltd.,2844.94,147.80,2033.86,
Berger Paints (India) Ltd.,1647.21,82.84,1957.33,Berger Paints (India) Ltd.,1915.14,120.39,3601.14,Berger Paints (India) Ltd.,2370.89,150.09,3460.32,
BGR Energy Systems Ltd.,1962.04,115.57,3265.06,BGR Energy Systems Ltd.,3098.40,201.46,5783.39,BGR Energy Systems Ltd.,4772.09,323.04,2332.99,
Bharat Electronics Ltd.,4981.63,753.50,11261.80,Bharat Electronics Ltd.,5739.62,751.09,14098.65,Bharat Electronics Ltd.,6022.63,877.84,12221.54,
